observation_date,M2SL
1994-04-01,3481.3
1994-05-01,3490.8
1994-06-01,3479.5
1994-07-01,3488.2
1994-08-01,3485.7
1994-09-01,3486.1
1994-10-01,3484.3
1994-11-01,3487.2
1994-12-01,3486.4
1995-01-01,3492.4
1995-02-01,3489.9
1995-03-01,3491.1
1995-04-01,3499.2
1995-05-01,3524.2
1995-06-01,3548.9
1995-07-01,3567.4
1995-08-01,3589.0
1995-09-01,3602.1
1995-10-01,3613.4
1995-11-01,3619.9
1995-12-01,3629.5
1996-01-01,3647.9
1996-02-01,3661.8
1996-03-01,3686.9
1996-04-01,3697.7
1996-05-01,3709.6
1996-06-01,3722.5
1996-07-01,3737.1
1996-08-01,3744.0
1996-09-01,3753.4
1996-10-01,3772.8
1996-11-01,3795.1
1996-12-01,3818.6
1997-01-01,3834.6
1997-02-01,3846.3
1997-03-01,3861.2
1997-04-01,3877.0
1997-05-01,3889.2
1997-06-01,3906.0
1997-07-01,3923.9
1997-08-01,3957.4
1997-09-01,3973.1
1997-10-01,3992.3
1997-11-01,4014.8
1997-12-01,4032.9
1998-01-01,4056.2
1998-02-01,4088.9
1998-03-01,4114.3
1998-04-01,4140.2
1998-05-01,4164.4
1998-06-01,4184.1
1998-07-01,4203.8
1998-08-01,4228.7
1998-09-01,4267.7
1998-10-01,4307.9
1998-11-01,4346.6
1998-12-01,4375.6
1999-01-01,4403.0
1999-02-01,4425.8
1999-03-01,4432.6
1999-04-01,4461.4
1999-05-01,4486.1
1999-06-01,4508.0
1999-07-01,4535.4
1999-08-01,4552.7
1999-09-01,4568.8
1999-10-01,4592.7
1999-11-01,4611.8
1999-12-01,4639.3
2000-01-01,4667.6
2000-02-01,4680.9
2000-03-01,4711.7
2000-04-01,4767.8
2000-05-01,4755.7
2000-06-01,4773.6
2000-07-01,4791.3
2000-08-01,4819.5
2000-09-01,4855.2
2000-10-01,4871.3
2000-11-01,4882.7
2000-12-01,4927.6
2001-01-01,4978.3
2001-02-01,5017.0
2001-03-01,5074.8
2001-04-01,5139.1
2001-05-01,5137.2
2001-06-01,5180.1
2001-07-01,5210.0
2001-08-01,5243.8
2001-09-01,5355.1
2001-10-01,5343.8
2001-11-01,5387.5
2001-12-01,5440.5
2002-01-01,5460.9
2002-02-01,5490.2
2002-03-01,5502.0
2002-04-01,5502.1
2002-05-01,5528.3
2002-06-01,5553.3
2002-07-01,5596.0
2002-08-01,5638.3
2002-09-01,5662.3
2002-10-01,5707.1
2002-11-01,5758.1
2002-12-01,5779.4
2003-01-01,5812.1
2003-02-01,5848.2
2003-03-01,5868.4
2003-04-01,5905.5
2003-05-01,5965.3
2003-06-01,6002.2
2003-07-01,6049.1
2003-08-01,6107.1
2003-09-01,6079.7
2003-10-01,6070.0
2003-11-01,6075.5
2003-12-01,6073.8
2004-01-01,6082.1
2004-02-01,6121.8
2004-03-01,6157.9
2004-04-01,6198.9
2004-05-01,6275.7
2004-06-01,6277.9
2004-07-01,6291.1
2004-08-01,6317.8
2004-09-01,6352.2
2004-10-01,6379.8
2004-11-01,6406.3
2004-12-01,6424.5
2005-01-01,6430.8
2005-02-01,6438.9
2005-03-01,6448.3
2005-04-01,6461.8
2005-05-01,6479.0
2005-06-01,6511.7
2005-07-01,6543.5
2005-08-01,6576.3
2005-09-01,6610.1
2005-10-01,6643.9
2005-11-01,6660.7
2005-12-01,6687.8
2006-01-01,6730.1
2006-02-01,6754.7
2006-03-01,6769.3
2006-04-01,6806.9
2006-05-01,6813.7
2006-06-01,6851.8
2006-07-01,6893.6
2006-08-01,6925.1
2006-09-01,6952.4
2006-10-01,7001.7
2006-11-01,7037.2
2006-12-01,7080.1
2007-01-01,7118.3
2007-02-01,7134.3
2007-03-01,7168.2
2007-04-01,7240.7
2007-05-01,7254.6
2007-06-01,7287.8
2007-07-01,7318.7
2007-08-01,7394.8
2007-09-01,7413.0
2007-10-01,7428.1
2007-11-01,7453.6
2007-12-01,7483.9
2008-01-01,7517.5
2008-02-01,7604.0
2008-03-01,7670.0
2008-04-01,7712.5
2008-05-01,7725.2
2008-06-01,7743.9
2008-07-01,7791.2
2008-08-01,7805.8
2008-09-01,7872.4
2008-10-01,7974.9
2008-11-01,8027.0
2008-12-01,8204.7
2009-01-01,8289.0
2009-02-01,8319.3
2009-03-01,8386.4
2009-04-01,8391.1
2009-05-01,8449.2
2009-06-01,8459.3
2009-07-01,8463.5
2009-08-01,8463.0
2009-09-01,8461.6
2009-10-01,8487.9
2009-11-01,8517.0
2009-12-01,8512.2
2010-01-01,8477.7
2010-02-01,8527.3
2010-03-01,8523.5
2010-04-01,8554.8
2010-05-01,8609.0
2010-06-01,8628.1
2010-07-01,8639.5
2010-08-01,8687.9
2010-09-01,8718.7
2010-10-01,8768.4
2010-11-01,8789.0
2010-12-01,8822.7
2011-01-01,8845.0
2011-02-01,8908.8
2011-03-01,8966.8
2011-04-01,9030.2
2011-05-01,9102.5
2011-06-01,9176.5
2011-07-01,9338.4
2011-08-01,9524.9
2011-09-01,9545.1
2011-10-01,9577.9
2011-11-01,9629.5
2011-12-01,9677.1
2012-01-01,9750.3
2012-02-01,9802.0
2012-03-01,9846.0
2012-04-01,9899.5
2012-05-01,9942.8
2012-06-01,10012.8
2012-07-01,10065.5
2012-08-01,10136.1
2012-09-01,10216.3
2012-10-01,10282.6
2012-11-01,10351.6
2012-12-01,10474.1
2013-01-01,10497.4
2013-02-01,10516.4
2013-03-01,10572.6
2013-04-01,10600.0
2013-05-01,10634.2
2013-06-01,10691.3
2013-07-01,10730.5
2013-08-01,10788.5
2013-09-01,10848.9
2013-10-01,10973.2
2013-11-01,10981.9
2013-12-01,11046.9
2014-01-01,11116.6
2014-02-01,11182.3
2014-03-01,11218.2
2014-04-01,11263.1
2014-05-01,11327.6
2014-06-01,11382.8
2014-07-01,11437.5
2014-08-01,11461.6
2014-09-01,11502.8
