observation_date,PCEPILFE
1993-11-01,66.819
1993-12-01,66.849
1994-01-01,66.902
1994-02-01,67.047
1994-03-01,67.275
1994-04-01,67.376
1994-05-01,67.526
1994-06-01,67.676
1994-07-01,67.818
1994-08-01,67.894
1994-09-01,67.997
1994-10-01,68.157
1994-11-01,68.282
1994-12-01,68.305
1995-01-01,68.475
1995-02-01,68.587
1995-03-01,68.755
1995-04-01,68.915
1995-05-01,69.032
1995-06-01,69.092
1995-07-01,69.201
1995-08-01,69.367
1995-09-01,69.458
1995-10-01,69.627
1995-11-01,69.672
1995-12-01,69.770
1996-01-01,69.849
1996-02-01,69.940
1996-03-01,70.102
1996-04-01,70.197
1996-05-01,70.319
1996-06-01,70.373
1996-07-01,70.505
1996-08-01,70.566
1996-09-01,70.780
1996-10-01,70.948
1996-11-01,71.041
1996-12-01,71.068
1997-01-01,71.144
1997-02-01,71.290
1997-03-01,71.460
1997-04-01,71.600
1997-05-01,71.652
1997-06-01,71.758
1997-07-01,71.807
1997-08-01,71.778
1997-09-01,71.927
1997-10-01,72.036
1997-11-01,72.058
1997-12-01,72.100
1998-01-01,72.210
1998-02-01,72.272
1998-03-01,72.349
1998-04-01,72.482
1998-05-01,72.552
1998-06-01,72.461
1998-07-01,72.665
1998-08-01,72.807
1998-09-01,72.795
1998-10-01,72.937
1998-11-01,72.950
1998-12-01,73.076
1999-01-01,73.180
1999-02-01,73.155
1999-03-01,73.177
1999-04-01,73.365
1999-05-01,73.435
1999-06-01,73.474
1999-07-01,73.606
1999-08-01,73.642
1999-09-01,73.837
1999-10-01,73.963
1999-11-01,74.034
1999-12-01,74.128
2000-01-01,74.306
2000-02-01,74.415
2000-03-01,74.568
2000-04-01,74.617
2000-05-01,74.697
2000-06-01,74.754
2000-07-01,74.925
2000-08-01,75.021
2000-09-01,75.203
2000-10-01,75.308
2000-11-01,75.441
2000-12-01,75.515
2001-01-01,75.796
2001-02-01,75.930
2001-03-01,76.009
2001-04-01,76.130
2001-05-01,76.148
2001-06-01,76.318
2001-07-01,76.515
2001-08-01,76.553
2001-09-01,76.118
2001-10-01,76.654
2001-11-01,76.810
2001-12-01,76.828
2002-01-01,76.871
2002-02-01,77.018
2002-03-01,77.110
2002-04-01,77.325
2002-05-01,77.411
2002-06-01,77.534
2002-07-01,77.692
2002-08-01,77.845
2002-09-01,77.972
2002-10-01,78.038
2002-11-01,78.114
2002-12-01,78.187
2003-01-01,78.240
2003-02-01,78.348
2003-03-01,78.474
2003-04-01,78.561
2003-05-01,78.674
2003-06-01,78.718
2003-07-01,78.915
2003-08-01,79.004
2003-09-01,79.114
2003-10-01,79.260
2003-11-01,79.368
2003-12-01,79.467
2004-01-01,79.671
2004-02-01,79.800
2004-03-01,79.934
2004-04-01,80.142
2004-05-01,80.252
2004-06-01,80.379
2004-07-01,80.474
2004-08-01,80.505
2004-09-01,80.656
2004-10-01,80.831
2004-11-01,81.005
2004-12-01,81.109
2005-01-01,81.401
2005-02-01,81.536
2005-03-01,81.737
2005-04-01,81.831
2005-05-01,81.999
2005-06-01,82.056
2005-07-01,82.176
2005-08-01,82.243
2005-09-01,82.425
2005-10-01,82.662
2005-11-01,82.873
2005-12-01,82.959
2006-01-01,83.145
2006-02-01,83.279
2006-03-01,83.509
2006-04-01,83.764
2006-05-01,83.974
2006-06-01,84.186
2006-07-01,84.268
2006-08-01,84.440
2006-09-01,84.573
2006-10-01,84.726
2006-11-01,84.766
2006-12-01,84.880
2007-01-01,85.224
2007-02-01,85.408
2007-03-01,85.494
2007-04-01,85.616
2007-05-01,85.717
2007-06-01,85.859
2007-07-01,85.988
2007-08-01,86.116
2007-09-01,86.351
2007-10-01,86.576
2007-11-01,86.746
2007-12-01,86.920
2008-01-01,87.093
2008-02-01,87.178
2008-03-01,87.349
2008-04-01,87.400
2008-05-01,87.559
2008-06-01,87.760
2008-07-01,87.918
2008-08-01,88.026
2008-09-01,88.116
2008-10-01,87.991
2008-11-01,87.952
2008-12-01,87.909
2009-01-01,87.882
2009-02-01,87.952
2009-03-01,88.015
2009-04-01,88.211
2009-05-01,88.279
2009-06-01,88.392
2009-07-01,88.468
2009-08-01,88.599
2009-09-01,88.755
2009-10-01,89.082
2009-11-01,89.160
2009-12-01,89.236
2010-01-01,89.368
2010-02-01,89.446
2010-03-01,89.579
2010-04-01,89.625
2010-05-01,89.724
2010-06-01,89.767
2010-07-01,89.769
2010-08-01,89.855
2010-09-01,89.906
2010-10-01,90.043
2010-11-01,90.160
2010-12-01,90.179
2011-01-01,90.372
2011-02-01,90.530
2011-03-01,90.667
2011-04-01,90.875
2011-05-01,91.091
2011-06-01,91.191
2011-07-01,91.326
2011-08-01,91.508
2011-09-01,91.570
2011-10-01,91.614
2011-11-01,91.808
2011-12-01,91.960
2012-01-01,92.235
2012-02-01,92.364
2012-03-01,92.521
2012-04-01,92.661
2012-05-01,92.755
2012-06-01,92.850
2012-07-01,92.946
2012-08-01,93.005
2012-09-01,93.119
2012-10-01,93.345
2012-11-01,93.445
2012-12-01,93.514
2013-01-01,93.703
2013-02-01,93.805
2013-03-01,93.891
2013-04-01,93.937
2013-05-01,94.047
2013-06-01,94.209
2013-07-01,94.329
2013-08-01,94.431
2013-09-01,94.543
2013-10-01,94.703
2013-11-01,94.860
2013-12-01,94.961
2014-01-01,95.064
2014-02-01,95.109
2014-03-01,95.250
2014-04-01,95.413
2014-05-01,95.574
2014-06-01,95.682
2014-07-01,95.848
2014-08-01,95.885
